scenario,wind_condition,transmission_setting,carrier,available_mwh,dispatched_mwh,curtailed_mwh,capacity_mw,curtailment_share_pct
base2,notwindy,fixed,solar,438181.1649690513,438048.79098467313,132.3739843781669,86407.99999999999,0.03020987549465219
base2,notwindy,fixed,ror,63871.88354682971,63869.59549770799,2.2880491217206327,4014.118709,0.003582247766410515
base2,notwindy,fixed,onwind,49435.39764776793,49434.99881604699,0.39883172094397423,73332.0659,0.0008067735669604388
base2,notwindy,fixed,offwind-ac,8316.629597688581,8316.624030500403,0.005567188177697524,11163.743,6.694043677555146e-05
base2,windvariability,fixed,onwind,804830.798401218,627686.4305739396,177144.36782727833,73332.0659,22.010137805259497
base2,windvariability,fixed,offwind-ac,173568.7610145298,69168.04914079647,104400.71187373332,11163.743,60.14948269694321
base2,windvariability,fixed,solar,90121.27745373089,83814.86170153534,6306.415752195546,86407.99999999999,6.997699023333662
base2,windvariability,fixed,ror,26219.26305273432,26076.92471487341,142.3383378609085,4014.118709,0.5428769587254456
base2,windy,fixed,onwind,1520776.2036497495,891757.6626322358,629018.5410175135,73332.0659,41.36167698494466
base2,windy,fixed,offwind-ac,236217.48034710326,37499.90005252877,198717.58029457447,11163.743,84.12484122791184
base2,windy,fixed,solar,121780.28322631732,109658.49306540462,12121.79016091271,86407.99999999999,9.95381997789042
base2,windy,fixed,ror,40079.38368937722,39367.55897783312,711.8247115440881,4014.118709,1.7760370694840617
scenario1,notwindy,fixed,solar,289760.2101265935,289759.8652750412,0.3448515523164737,57139.83675767326,0.00011901273544970559
scenario1,notwindy,fixed,ror,39059.1492616171,39058.83266825345,0.31659336364600676,2454.7273871096436,0.0008105485388979497
scenario1,notwindy,fixed,onwind,58549.972454806695,58549.70633035536,0.266124451336367,86852.55187166335,0.00045452532286293046
scenario1,notwindy,fixed,offwind-ac,30648.48567921089,30648.482102753893,0.0035764569972815963,41140.682465524755,1.166927800190642e-05
scenario1,windvariability,fixed,offwind-ac,639636.4805991433,140436.88109700056,499199.5995021428,41140.682465524755,78.04426649251553
scenario1,windvariability,fixed,onwind,953220.2292156345,825470.7314282414,127749.49778739316,86852.55187166335,13.40188697972901
scenario1,windvariability,fixed,solar,59595.35091772942,54103.26563623779,5492.085281491629,57139.83675767326,9.21562705297831
scenario1,windvariability,fixed,ror,16033.692013411488,15845.871308383723,187.82070502776548,2454.7273871096436,1.1714127031419936
scenario1,windy,fixed,offwind-ac,870509.8596202463,44898.1385888157,825611.7210314306,41140.682465524755,94.8423170521696
scenario1,windy,fixed,onwind,1801166.9587053205,1035266.7860897194,765900.172615601,86852.55187166335,42.52244184881841
scenario1,windy,fixed,solar,80530.80159076693,76350.22230602661,4180.57928474031,57139.83675767326,5.191279860822377
scenario1,windy,fixed,ror,24509.479647476415,24146.65175922223,362.82788825418095,2454.7273871096436,1.4803573697719812
scenario2,notwindy,fixed,solar,316038.8333227559,315627.1076846469,411.72563810901016,62321.90174509548,0.13027691368817762
scenario2,notwindy,fixed,onwind,59129.559223432414,58894.74165780281,234.81756562960462,87712.306159764,0.39712382218562003
scenario2,notwindy,fixed,ror,36727.929399083616,36724.863038548094,3.066360535525291,2308.2185831516845,0.008348852183324549
scenario2,notwindy,fixed,offwind-ac,17195.486304704522,17195.480587652666,0.005717051853937782,23082.185831516847,3.324739848953066e-05
scenario2,windvariability,fixed,offwind-ac,358871.2492112648,116303.15357082486,242568.09564043995,23082.185831516847,67.5919556591846
scenario2,windvariability,fixed,onwind,962656.1658912017,761402.774395294,201253.39149590774,87712.306159764,20.906051259703162
scenario2,windvariability,fixed,solar,65000.108770182225,59265.23896959634,5734.8698005858805,62321.90174509548,8.82286185221995
scenario2,windvariability,fixed,ror,15076.731557333653,15010.541002945187,66.19055438846578,2308.2185831516845,0.4390245600431166
scenario2,windy,fixed,onwind,1818996.7286195117,1050758.1017999873,768238.6268195246,87712.306159764,42.234195077555896
scenario2,windy,fixed,offwind-ac,488403.9141732764,25270.397089523787,463133.51708375255,23082.185831516847,94.82592248829555
scenario2,windy,fixed,solar,87834.21495371318,83125.40570003477,4708.8092536784225,62321.90174509548,5.361019343270579
scenario2,windy,fixed,ror,23046.647331496995,22681.30250243229,365.34482906470487,2308.2185831516845,1.5852406808230266
