day,scenario,scenario_name,avg_price_eur_per_MWh,temporal_price_spread_eur_per_MWh,avg_spatial_price_spread_eur_per_MWh,wind_condition,transmission_setting
2025-04-08,germany_base2_notwindy,base2,52.03196012731281,27.55826565585417,124.51645653933582,notwindy,fixed
2025-10-06,germany_base2_windvariability,base2,46.48241108801806,19.25969521044344,1125.963054185963,windvariability,fixed
2025-10-26,germany_base2_windy,base2,12.746300724270226,10.918411975118518,233.8008740000963,windy,fixed
2025-04-08,germany_scenario2040-TP_notwindy,scenario2040,98.49727896149363,39.68412231712922,9914.396685236026,notwindy,TP
2025-10-06,germany_scenario2040-TP_windvariability,scenario2040,1686.8350940609992,79.57166950929172,10035.833911662376,windvariability,TP
2025-10-26,germany_scenario2040-TP_windy,scenario2040,5.826908549756422,8.783219516769801,88.0044257267257,windy,TP
2025-04-08,germany_scenario2040-ext_notwindy,scenario2040,23.95361052012925,33.836172581977024,19.254637194110146,notwindy,ext
2025-10-06,germany_scenario2040-ext_windvariability,scenario2040,16.25450488075442,29.73091777241508,33.0823874783089,windvariability,ext
2025-10-26,germany_scenario2040-ext_windy,scenario2040,1.1310724337749165,10.880599770222712,19.630772240172504,windy,ext
2025-04-08,germany_scenario2040-fixed_notwindy,scenario2040,128.8990101320763,39.883142650835495,9953.339572422195,notwindy,fixed
2025-10-06,germany_scenario2040-fixed_windvariability,scenario2040,2918.7255422703474,71.49053620259929,10035.586742220932,windvariability,fixed
2025-10-26,germany_scenario2040-fixed_windy,scenario2040,623.1020423291324,39.91826242054072,9966.989822774043,windy,fixed
