scenario,wind_condition,transmission_setting,carrier,available_mwh,dispatched_mwh,curtailed_mwh,capacity_mw,curtailment_share_pct
base-ext,notwindy,extendable,solar,438181.1649690513,438180.65273925714,0.5122297941580598,86407.99999999999,0.0001168990899447352
base-ext,notwindy,extendable,ror,63871.88354682971,63871.47331187228,0.4102349574272921,4014.118709,0.000642277845347265
base-ext,notwindy,extendable,onwind,49435.39764776793,49435.081219908854,0.3164278590718652,73332.0659,0.0006400835719506998
base-ext,notwindy,extendable,offwind-ac,8316.629597688581,8316.625420243847,0.0041774447323121855,11163.743,5.0230020265339366e-05
base-ext,notwindy,extendable,offwind-dc,0.0,0.0,0.0,0.0,
base-ext,notwindy,extendable,offwind-float,0.0,0.0,0.0,0.0,
base-ext,notwindy,extendable,solar-hsat,0.0,0.0,0.0,0.0,
base-ext,windvariability,extendable,onwind,804830.798401218,772572.3671172534,32258.431283964463,73332.0659,4.008101000613453
base-ext,windvariability,extendable,offwind-ac,173568.7610145298,159684.93998661084,13883.821027918948,11163.743,7.999032168442284
base-ext,windvariability,extendable,ror,26219.26305273432,26203.86431441992,15.39873831439786,4014.118709,0.05873062977943607
base-ext,windvariability,extendable,solar,90121.27745373089,90117.39413518649,3.883318544390818,86407.99999999999,0.004308991898594148
base-ext,windvariability,extendable,offwind-dc,0.0,0.0,0.0,0.0,
base-ext,windvariability,extendable,offwind-float,0.0,0.0,0.0,0.0,
base-ext,windvariability,extendable,solar-hsat,0.0,0.0,0.0,0.0,
base-ext,windy,extendable,onwind,1520776.2036497495,1007247.9905463927,513528.21310335654,73332.0659,33.767507136877015
base-ext,windy,extendable,offwind-ac,236217.48034710326,65357.61598448042,170859.86436262284,11163.743,72.3315921038348
base-ext,windy,extendable,solar,121780.28322631732,121070.99154845593,709.291677861394,86407.99999999999,0.5824355626955157
base-ext,windy,extendable,ror,40079.38368937722,39994.885808452425,84.49788092479162,4014.118709,0.2108262980779997
base-ext,windy,extendable,offwind-dc,0.0,0.0,0.0,0.0,
base-ext,windy,extendable,offwind-float,0.0,0.0,0.0,0.0,
base-ext,windy,extendable,solar-hsat,0.0,0.0,0.0,0.0,
base2,notwindy,fixed,solar,438181.1649690513,438048.79098467313,132.3739843781669,86407.99999999999,0.03020987549465219
base2,notwindy,fixed,ror,63871.88354682971,63869.59549770799,2.2880491217206327,4014.118709,0.003582247766410515
base2,notwindy,fixed,onwind,49435.39764776793,49434.99881604699,0.39883172094397423,73332.0659,0.0008067735669604388
base2,notwindy,fixed,offwind-ac,8316.629597688581,8316.624030500403,0.005567188177697524,11163.743,6.694043677555146e-05
base2,notwindy,fixed,offwind-dc,0.0,0.0,0.0,0.0,
base2,notwindy,fixed,offwind-float,0.0,0.0,0.0,0.0,
base2,notwindy,fixed,solar-hsat,0.0,0.0,0.0,0.0,
base2,windvariability,fixed,onwind,804830.798401218,627686.4305739396,177144.36782727833,73332.0659,22.010137805259497
