scenario,line_id,bus0,bus1,average_loading_pct,max_loading_pct,hours_above_60,hours_above_70,scenario_name,transmission_setting,wind_condition
germany_scenario2040-ext-TP_windy,555,DE0 353,DE0 74,64.40431517295754,69.65956912171438,21.0,0.0,scenario2040,ext-TP,windy
germany_scenario2040-ext-TP_windy,599,DE0 399,DE0 401,62.63928071059773,69.77319324149536,18.0,0.0,scenario2040,ext-TP,windy
germany_scenario2040-ext-TP_windy,271,DE0 191,DE0 269,57.00334532139716,69.7000095161843,10.0,0.0,scenario2040,ext-TP,windy
germany_scenario2040-ext-TP_windy,287,DE0 198,DE0 335,56.683042134416894,69.51358235175915,16.0,0.0,scenario2040,ext-TP,windy
germany_scenario2040-ext_notwindy,66,DE0 117,DE0 227,69.08366026961514,69.62537683560934,24.0,0.0,scenario2040,ext,notwindy
germany_scenario2040-ext_notwindy,163,DE0 153,DE0 40,68.96730886853048,69.29296843184986,24.0,0.0,scenario2040,ext,notwindy
germany_scenario2040-ext_notwindy,618,DE0 50,DE0 99,68.92369837616394,69.11378919444813,24.0,0.0,scenario2040,ext,notwindy
germany_scenario2040-ext_notwindy,255,DE0 188,DE0 40,68.77124388403769,69.857839646532,23.0,0.0,scenario2040,ext,notwindy
germany_scenario2040-ext_notwindy,300,DE0 204,DE0 367,68.00457272938522,69.64321137496195,22.0,0.0,scenario2040,ext,notwindy
germany_scenario2040-ext_windvariability,211,DE0 170,DE0 231,66.10920874455041,69.59598099628307,20.0,0.0,scenario2040,ext,windvariability
germany_scenario2040-ext_windvariability,357,DE0 231,DE0 87,65.82234095639869,69.83683938961646,19.0,0.0,scenario2040,ext,windvariability
germany_scenario2040-ext_windvariability,32,DE0 105,DE0 354,64.94171704649028,69.53927005808063,18.0,0.0,scenario2040,ext,windvariability
germany_scenario2040-ext_windvariability,322,DE0 216,DE0 339,64.7538605975727,69.92582484026345,19.0,0.0,scenario2040,ext,windvariability
germany_scenario2040-ext_windvariability,533,DE0 339,DE0 363,64.70116167575478,69.88689017374979,19.0,0.0,scenario2040,ext,windvariability
germany_scenario2040-ext_windy,388,DE0 249,DE0 36,67.40209056981114,69.60971307195571,21.0,0.0,scenario2040,ext,windy
germany_scenario2040-ext_windy,587,DE0 390,DE0 5,65.80926415275506,69.33831774189805,20.0,0.0,scenario2040,ext,windy
germany_scenario2040-ext_windy,66,DE0 117,DE0 227,60.34536285503136,69.65052355218234,16.0,0.0,scenario2040,ext,windy
germany_scenario2040-ext_windy,254,DE0 188,DE0 309,58.73572504633563,69.93355231696921,16.0,0.0,scenario2040,ext,windy
germany_scenario2040-ext_windy,520,DE0 330,DE0 362,58.24432457735284,69.47292943926705,15.0,0.0,scenario2040,ext,windy
germany_scenario2040-fixed_notwindy,208,DE0 169,DE0 367,67.42727613657347,67.42728417239897,24.0,0.0,scenario2040,fixed,notwindy
germany_scenario2040-fixed_notwindy,207,DE0 169,DE0 200,63.85787936665087,67.85911256326423,19.0,0.0,scenario2040,fixed,notwindy
germany_scenario2040-fixed_notwindy,618,DE0 50,DE0 99,62.05918197815027,67.04505145150159,19.0,0.0,scenario2040,fixed,notwindy
germany_scenario2040-fixed_notwindy,168,DE0 156,DE0 22,61.11759292318146,66.52073982656145,19.0,0.0,scenario2040,fixed,notwindy
germany_scenario2040-fixed_notwindy,115,DE0 134,DE0 274,59.43691872569551,66.15338822256066,13.0,0.0,scenario2040,fixed,notwindy
germany_scenario2040-fixed_windvariability,622,DE0 61,DE0 96,68.23589173554122,68.23596422227996,24.0,0.0,scenario2040,fixed,windvariability
germany_scenario2040-fixed_windvariability,10,DE0 1,DE0 150,67.88980098501233,67.88986114580183,24.0,0.0,scenario2040,fixed,windvariability
germany_scenario2040-fixed_windvariability,207,DE0 169,DE0 200,67.85915528608939,67.85915571742723,24.0,0.0,scenario2040,fixed,windvariability
germany_scenario2040-fixed_windvariability,355,DE0 23,DE0 57,67.83686958525719,67.83691284656848,24.0,0.0,scenario2040,fixed,windvariability
germany_scenario2040-fixed_windvariability,60,DE0 115,DE0 46,67.20260557383452,67.20260613550134,24.0,0.0,scenario2040,fixed,windvariability
germany_scenario2040-fixed_windy,207,DE0 169,DE0 200,67.85916434739603,67.85916438747812,24.0,0.0,scenario2040,fixed,windy
germany_scenario2040-fixed_windy,208,DE0 169,DE0 367,67.42725560033618,67.42726841030645,24.0,0.0,scenario2040,fixed,windy
germany_scenario2040-fixed_windy,169,DE0 156,DE0 48,67.11952393444291,69.13101518876549,22.0,0.0,scenario2040,fixed,windy
germany_scenario2040-fixed_windy,618,DE0 50,DE0 99,67.04514042795925,67.04514046537018,24.0,0.0,scenario2040,fixed,windy
germany_scenario2040-fixed_windy,625,DE0 71,DE0 96,66.36862193119774,68.6650849091066,24.0,0.0,scenario2040,fixed,windy
