day,scenario,scenario_name,total_unserved_energy_MWh,peak_load_shedding_MW,avg_price_eur_per_MWh,temporal_price_spread_eur_per_MWh,avg_spatial_price_spread_eur_per_MWh,curtailment_GWh,congested_line_count,congestion_event_count,transmission_setting,wind_condition
2025-04-08,germany_base2_notwindy,base2,0.0161494232089426,0.0006731492092612,52.03196012731281,27.55826565585417,124.51645653933582,0.1327728160990961,0,0,fixed,notwindy
2025-04-08,germany_scenario2040-TP_notwindy,scenario2040,1023.7338628653469,251.4906026497809,98.49727896149363,39.68412231712922,9914.396685236026,242.29829967264732,0,0,TP,notwindy
2025-04-08,germany_scenario2040-ext-TP_notwindy,scenario2040,0.0122443683598465,0.0005104897934406,23.20254940265346,33.12111820262712,18.193909148512308,87.54808850645837,0,0,ext-TP,notwindy
2025-04-08,germany_scenario2040-ext_notwindy,scenario2040,0.0103984530915955,0.0004335284438417,23.95361052012925,33.836172581977024,19.254637194110146,89.25008978600762,0,0,ext,notwindy
2025-04-08,germany_scenario2040-fixed_notwindy,scenario2040,1023.7423599126996,221.65134898403127,128.8990101320763,39.883142650835495,9953.339572422195,335.0004121695526,0,0,fixed,notwindy
2025-10-06,germany_base2_windvariability,base2,0.0102920032356932,0.0004290138909334,46.48241108801806,19.25969521044344,1125.963054185963,183.45078357947392,0,0,fixed,windvariability
2025-10-06,germany_scenario2040-TP_windvariability,scenario2040,26935.808215195197,2313.786042516193,1686.8350940609992,79.57166950929172,10035.833911662376,974.493439390038,0,0,TP,windvariability
2025-10-06,germany_scenario2040-ext-TP_windvariability,scenario2040,0.0042030377148225,0.0001753141547525,14.32462336132354,29.905784558745196,28.410876931945342,809.7243735149518,0,0,ext-TP,windvariability
2025-10-06,germany_scenario2040-ext_windvariability,scenario2040,0.0045492008870524,0.0001897465177113,16.25450488075442,29.73091777241508,33.0823874783089,731.2074170371395,0,0,ext,windvariability
2025-10-06,germany_scenario2040-fixed_windvariability,scenario2040,163261.76115220966,10839.236830540958,2918.7255422703474,71.49053620259929,10035.586742220932,1171.0997676361008,0,0,fixed,windvariability
2025-10-26,germany_base2_windy,base2,0.0014919297669744,6.217826021220484e-05,12.746300724270226,10.918411975118518,233.8008740000963,641.1403311784262,0,0,fixed,windy
2025-10-26,germany_scenario2040-TP_windy,scenario2040,0.0009710585549686,4.0467477368595774e-05,5.826908549756422,8.783219516769801,88.0044257267257,3097.491524450415,0,0,TP,windy
2025-10-26,germany_scenario2040-ext-TP_windy,scenario2040,0.0001366752568421,5.696655989542275e-06,0.7192235032203471,8.775158970618639,16.661057720692625,3044.428799084816,0,0,ext-TP,windy
2025-10-26,germany_scenario2040-ext_windy,scenario2040,0.0001129420525267,4.707747282003385e-06,1.1310724337749165,10.880599770222712,19.630772240172504,3065.229984637785,0,0,ext,windy
2025-10-26,germany_scenario2040-fixed_windy,scenario2040,4503.151950422828,443.4800664677761,623.1020423291324,39.91826242054072,9966.989822774043,3080.154871850827,0,0,fixed,windy
