scenario,carrier,available_mwh,dispatched_mwh,curtailed_mwh,capacity_mw,curtailment_share_pct,scenario_name,transmission_setting,wind_condition
germany_base2_notwindy,offwind-ac,8316.629597688581,8316.624030500403,0.0055671881776975,11163.743,6.694043677555146e-05,base2,fixed,notwindy
germany_base2_notwindy,onwind,49435.39764776793,49434.99881604699,0.3988317209439742,73332.0659,0.0008067735669604,base2,fixed,notwindy
germany_base2_notwindy,ror,63871.88354682971,63869.59549770799,2.2880491217206327,4014.118709,0.0035822477664105,base2,fixed,notwindy
germany_base2_notwindy,solar,438181.1649690513,438048.79098467313,132.3739843781669,86407.99999999999,0.0302098754946521,base2,fixed,notwindy
germany_base2_windvariability,offwind-ac,173568.7610145298,69168.04914079647,104400.71187373332,11163.743,60.14948269694321,base2,fixed,windvariability
germany_base2_windvariability,onwind,804830.798401218,627686.4305739396,177144.36782727833,73332.0659,22.010137805259497,base2,fixed,windvariability
germany_base2_windvariability,ror,26219.26305273432,26076.92471487341,142.3383378609085,4014.118709,0.5428769587254456,base2,fixed,windvariability
germany_base2_windvariability,solar,90121.27745373089,83814.86170153534,6306.415752195546,86407.99999999999,6.997699023333662,base2,fixed,windvariability
germany_base2_windy,offwind-ac,236217.4803471033,37499.90005252877,198717.5802945745,11163.743,84.12484122791184,base2,fixed,windy
germany_base2_windy,onwind,1520776.2036497495,891757.6626322358,629018.5410175135,73332.0659,41.36167698494466,base2,fixed,windy
germany_base2_windy,ror,40079.38368937722,39367.55897783312,711.8247115440881,4014.118709,1.7760370694840617,base2,fixed,windy
germany_base2_windy,solar,121780.28322631732,109658.49306540462,12121.79016091271,86407.99999999999,9.95381997789042,base2,fixed,windy
germany_scenario2040-TP_notwindy,offwind-ac,50461.94487098975,50448.01605382624,13.928817163502934,66000.0,0.0276026165838695,scenario2040,TP,notwindy
germany_scenario2040-TP_notwindy,onwind,140587.0367604896,138943.2437562984,1643.7930041911743,209000.0,1.1692351173114304,scenario2040,TP,notwindy
germany_scenario2040-TP_notwindy,ror,95470.844053949,94257.92957448776,1212.9144794612453,5999.999999999999,1.270455385076356,scenario2040,TP,notwindy
germany_scenario2040-TP_notwindy,solar,1861419.314911424,1620764.8082429676,240654.5066684562,367000.0,12.928548916443786,scenario2040,TP,notwindy
germany_scenario2040-TP_windvariability,offwind-ac,1018437.1565139864,201362.06425611212,817075.0922578743,66000.0,80.22832700396013,scenario2040,TP,windvariability
germany_scenario2040-TP_windvariability,onwind,2299928.5016990565,1405116.5466646028,894811.9550344539,209000.0,38.90607705297872,scenario2040,TP,windvariability
germany_scenario2040-TP_windvariability,ror,39190.56453504745,38688.48842029685,502.0761147505948,5999.999999999999,1.2811147803231993,scenario2040,TP,windvariability
germany_scenario2040-TP_windvariability,solar,382596.3413212317,302914.8569656475,79681.48435558415,367000.0,20.82651498454419,scenario2040,TP,windvariability
germany_scenario2040-TP_windy,offwind-ac,1396386.7216491392,79293.16643902805,1317093.5552101112,66000.0,94.32154680292416,scenario2040,TP,windy
germany_scenario2040-TP_windy,onwind,4335851.884155404,1329136.4239985135,3006715.4601568896,209000.0,69.34543754006897,scenario2040,TP,windy
germany_scenario2040-TP_windy,ror,59907.62096723612,58013.926133830704,1893.694833405421,5999.999999999999,3.1610249294344293,scenario2040,TP,windy
germany_scenario2040-TP_windy,solar,517185.458013048,426409.3937195229,90776.06429352508,367000.0,17.551936715752532,scenario2040,TP,windy
