scenario,days_observed,avg_daily_unserved_energy_mwh,max_daily_unserved_energy_mwh,avg_daily_peak_shedding_mw,max_daily_peak_shedding_mw,avg_daily_price_eur_per_mwh,max_daily_price_eur_per_mwh,avg_daily_temporal_price_spread,avg_daily_spatial_price_spread,avg_daily_curtailment_gwh,max_daily_curtailment_gwh,avg_daily_congested_lines,max_daily_congested_lines,total_congestion_events,wind_condition,scenario_name,transmission_setting
germany_base2_notwindy,1,0.0161494232089426,0.0161494232089426,0.0006731492092612,0.0006731492092612,52.03196012731281,52.03196012731281,27.55826565585417,124.51645653933582,0.1327728160990961,0.1327728160990961,0.0,0,0,notwindy,base2,fixed
germany_base2_windvariability,1,0.0102920032356932,0.0102920032356932,0.0004290138909334,0.0004290138909334,46.48241108801806,46.48241108801806,19.25969521044344,1125.963054185963,183.45078357947392,183.45078357947392,0.0,0,0,windvariability,base2,fixed
germany_base2_windy,1,0.0014919297669744,0.0014919297669744,6.217826021220484e-05,6.217826021220484e-05,12.746300724270226,12.746300724270226,10.918411975118518,233.8008740000963,641.1403311784262,641.1403311784262,0.0,0,0,windy,base2,fixed
germany_scenario2040-TP_notwindy,1,1023.7338628653469,1023.7338628653469,251.4906026497809,251.4906026497809,98.49727896149363,98.49727896149363,39.68412231712922,9914.396685236026,242.2982996726473,242.2982996726473,0.0,0,0,notwindy,scenario2040,TP
germany_scenario2040-TP_windvariability,1,26935.8082151952,26935.8082151952,2313.786042516193,2313.786042516193,1686.8350940609992,1686.8350940609992,79.57166950929172,10035.833911662376,974.493439390038,974.493439390038,0.0,0,0,windvariability,scenario2040,TP
germany_scenario2040-TP_windy,1,0.0009710585549686,0.0009710585549686,4.0467477368595774e-05,4.0467477368595774e-05,5.826908549756422,5.826908549756422,8.783219516769801,88.0044257267257,3097.491524450415,3097.491524450415,0.0,0,0,windy,scenario2040,TP
germany_scenario2040-ext_notwindy,1,0.0103984530915955,0.0103984530915955,0.0004335284438417,0.0004335284438417,23.95361052012925,23.95361052012925,33.836172581977024,19.254637194110146,89.25008978600762,89.25008978600762,0.0,0,0,notwindy,scenario2040,ext
germany_scenario2040-ext_windvariability,1,0.0045492008870524,0.0045492008870524,0.0001897465177113,0.0001897465177113,16.25450488075442,16.25450488075442,29.73091777241508,33.0823874783089,731.2074170371395,731.2074170371395,0.0,0,0,windvariability,scenario2040,ext
germany_scenario2040-ext_windy,1,0.0001129420525267,0.0001129420525267,4.707747282003385e-06,4.707747282003385e-06,1.1310724337749165,1.1310724337749165,10.880599770222712,19.630772240172504,3065.229984637785,3065.229984637785,0.0,0,0,windy,scenario2040,ext
germany_scenario2040-fixed_notwindy,1,1023.7423599126996,1023.7423599126996,221.65134898403127,221.65134898403127,128.8990101320763,128.8990101320763,39.883142650835495,9953.339572422195,335.0004121695526,335.0004121695526,0.0,0,0,notwindy,scenario2040,fixed
germany_scenario2040-fixed_windvariability,1,163261.76115220966,163261.76115220966,10839.236830540958,10839.236830540958,2918.7255422703474,2918.7255422703474,71.49053620259929,10035.586742220932,1171.0997676361008,1171.0997676361008,0.0,0,0,windvariability,scenario2040,fixed
germany_scenario2040-fixed_windy,1,4503.151950422828,4503.151950422828,443.4800664677761,443.4800664677761,623.1020423291324,623.1020423291324,39.91826242054072,9966.989822774043,3080.154871850827,3080.154871850827,0.0,0,0,windy,scenario2040,fixed
