scenario,total_available_mwh,total_dispatched_mwh,total_curtailed_mwh,total_capacity_mw,curtailment_share_pct,scenario_name,transmission_setting,wind_condition
germany_base2_notwindy,559805.0757613375,559670.0093289285,135.06643240900922,174917.92760899998,0.0241274040299327,base2,fixed,notwindy
germany_base2_windvariability,1094740.099922213,806746.2661311448,287993.8337910681,174917.92760899998,26.30705076132057,base2,fixed,windvariability
germany_base2_windy,1918853.3509125472,1078283.6147280023,840569.7361845447,174917.92760899998,43.80583517676303,base2,fixed,windy
germany_scenario2040-TP_notwindy,2147939.140596852,1904413.99762758,243525.1429692721,648000.0,11.33761838808912,scenario2040,TP,notwindy
germany_scenario2040-TP_windvariability,3740152.564069322,1948081.9563066596,1792070.607762663,648000.0,47.914371862223526,scenario2040,TP,windvariability
germany_scenario2040-TP_windy,6309331.684784827,1892852.9102908955,4416478.774493932,648000.0,69.99915355764898,scenario2040,TP,windy
germany_scenario2040-ext_notwindy,2146615.3607356683,2057288.2151612004,89327.14557446817,648000.0,4.161301889866976,scenario2040,ext,notwindy
germany_scenario2040-ext_windvariability,3741907.116844168,2354948.393547876,1386958.723296292,648000.0,37.06555721420522,scenario2040,ext,windvariability
germany_scenario2040-ext_windy,6307947.839417914,1898729.766757963,4409218.072659951,648000.0,69.89940603356075,scenario2040,ext,windy
germany_scenario2040-fixed_notwindy,2146615.3607356683,1808751.6397448771,337863.7209907912,648000.0,15.739369389167216,scenario2040,fixed,notwindy
germany_scenario2040-fixed_windvariability,3741907.116844168,1624922.705648165,2116984.411196003,648000.0,56.57501228895856,scenario2040,fixed,windvariability
germany_scenario2040-fixed_windy,6307947.839417914,1854755.414898377,4453192.424519537,648000.0,70.59653215094545,scenario2040,fixed,windy
