scenario,transmission_setting,available_mwh_notwindy,available_mwh_windvariability,available_mwh_windy,capacity_mw_notwindy,capacity_mw_windvariability,capacity_mw_windy,curtailed_mwh_notwindy,curtailed_mwh_windvariability,curtailed_mwh_windy,curtailment_share_pct_notwindy,curtailment_share_pct_windvariability,curtailment_share_pct_windy,dispatched_mwh_notwindy,dispatched_mwh_windvariability,dispatched_mwh_windy
base2,fixed,559805.0757613375,1094740.099922213,1918853.3509125472,174917.92760899998,174917.92760899998,174917.92760899998,135.06643240900922,287993.8337910681,840569.7361845447,0.034665837264798695,89.70019648426181,137.216375260231,559670.0093289285,806746.2661311448,1078283.6147280023
baseTP,projects,559995.6066767211,1095544.0619661391,1919368.4067095246,174917.927609,174917.927609,174917.927609,1.1188455180643542,140326.0973406023,698886.1310497541,0.0013290394831627617,53.48966295117159,88.52027022676134,559994.487831203,955217.9646255369,1220482.2756597705
scenario-ext,extendable,559995.6066767211,1055485.9611049835,1919368.4067095246,174917.927609,137281.181629,174917.927609,0.40571732163177066,50200.56332889437,687131.7472726862,0.0004734964349733895,9.45846039434569,102.72880821939381,559995.2009593995,1005285.3977760889,1232236.6594368385
scenario1,fixed,418017.8175222282,1668485.7527459187,2776717.09956381,187587.798481971,187587.79848197103,187587.79848197103,0.931145824296129,632629.0032760553,1596055.300820026,0.0013957558752124921,101.83319322836485,144.03639613158236,418016.8863764039,1035856.7494698635,1180661.798743784
scenario2,fixed,429091.8082499764,1401604.2554299824,2418281.505077998,175424.612319528,175424.612319528,175424.612319528,649.615281325994,449622.54749132204,1236446.2979860203,0.5357828354556118,97.75989333115083,144.00637758994506,428442.1929686505,951981.7079386604,1181835.207091978
