scenario,bus_id,x,y,average_marginal_price,max_marginal_price,total_load_shedding_mwh,max_load_shedding_mw,worst_shedding_snapshot,wind_condition,scenario_name,transmission_setting
germany_scenario2040-TP_windy,DE0 165 H2,8.1001077,48.7070611,55.98093691124138,55.98096960472007,7.227952246351112e-07,3.0116566486265176e-08,2025-10-26 10:00:00,windy,scenario2040,TP
germany_scenario2040-TP_windy,DE0 8 H2,7.90843964,48.50156581,55.172791346271104,55.17282597067288,7.227367443055195e-07,3.011412691914497e-08,2025-10-26 10:00:00,windy,scenario2040,TP
germany_scenario2040-ext_notwindy,DE0 158 H2,6.5227314,51.3224881,37.90754451235665,37.90767212943749,7.709744722255545e-06,3.212393702299435e-07,2025-04-08 18:00:00,notwindy,scenario2040,ext
germany_scenario2040-ext_notwindy,DE0 213 H2,7.04734045,50.90558499,37.90130585431652,37.90143356557927,7.709740708554974e-06,3.2123920370671665e-07,2025-04-08 01:00:00,notwindy,scenario2040,ext
germany_scenario2040-ext_notwindy,DE0 244 H2,6.7235627,51.35546216,37.901278148337774,37.901405927958606,7.709738265405647e-06,3.212391011582387e-07,2025-04-08 18:00:00,notwindy,scenario2040,ext
germany_scenario2040-ext_notwindy,DE0 95 H2,6.67477654,51.32484102,37.8961322867388,37.89626012153705,7.709734125121772e-06,3.212389289726229e-07,2025-04-08 00:00:00,notwindy,scenario2040,ext
germany_scenario2040-ext_notwindy,DE0 315 H2,6.7035127,51.3705245,37.893728259869,37.89385595845714,7.709732482707098e-06,3.212388608498859e-07,2025-04-08 00:00:00,notwindy,scenario2040,ext
germany_scenario2040-ext_windvariability,DE0 45 H2,9.01284744,47.84470229,35.03975085270131,35.03990429424986,3.3751222087374355e-06,1.406300941966419e-07,2025-10-06 19:00:00,windvariability,scenario2040,ext
germany_scenario2040-ext_windvariability,DE0 78 H2,10.70277684,47.82643397,34.959189158177246,34.95935071364179,3.375095893036321e-06,1.4062899782352505e-07,2025-10-06 19:00:00,windvariability,scenario2040,ext
germany_scenario2040-ext_windvariability,DE0 164 H2,10.84025994,48.23779917,34.94683989036576,34.94700238834885,3.3750911322741347e-06,1.4062879947192673e-07,2025-10-06 19:00:00,windvariability,scenario2040,ext
germany_scenario2040-ext_windvariability,DE0 47 H2,10.93668095,48.40134332,34.92604315878423,34.926205790014976,3.3750837176183063e-06,1.4062849052980353e-07,2025-10-06 19:00:00,windvariability,scenario2040,ext
germany_scenario2040-ext_windvariability,DE0 214 H2,8.86201735,47.80631981,34.9245180106565,34.924671082861124,3.375083165082631e-06,1.4062846737235672e-07,2025-10-06 19:00:00,windvariability,scenario2040,ext
germany_scenario2040-ext_windy,DE0 69 H2,11.81301418,48.22131789,18.18395932702913,18.18463073570402,8.377009275135801e-08,3.4904207652143027e-09,2025-10-26 16:00:00,windy,scenario2040,ext
germany_scenario2040-ext_windy,DE0 184 H2,11.86805459,48.20668527,18.15645267447742,18.157118138888155,8.37698675303298e-08,3.4904113788963062e-09,2025-10-26 16:00:00,windy,scenario2040,ext
germany_scenario2040-ext_windy,DE0 283 H2,9.19640728,48.9130659,17.80197972190233,17.802639500460423,8.376674002576725e-08,3.4902810633501822e-09,2025-10-26 17:00:00,windy,scenario2040,ext
germany_scenario2040-ext_windy,DE0 84 H2,9.21591042,48.85227651,17.777592479499265,17.77824619104215,8.376652874064183e-08,3.490272257698216e-09,2025-10-26 17:00:00,windy,scenario2040,ext
germany_scenario2040-ext_windy,DE0 404 H2,9.2403641,48.863235,17.767129825637106,17.767781868855373,8.37664510759706e-08,3.4902690211008446e-09,2025-10-26 17:00:00,windy,scenario2040,ext
germany_scenario2040-fixed_notwindy,DE0 191,8.6807188,51.9968419,9858.017106997206,10000.009098757151,1023.7146235081644,221.6501912768801,2025-04-08 17:00:00,notwindy,scenario2040,fixed
germany_scenario2040-fixed_notwindy,DE0 191 battery,8.6807188,51.9968419,9790.580944082105,9797.957144802896,0.0009400051846108,4.049911327279978e-05,2025-04-08 21:00:00,notwindy,scenario2040,fixed
germany_scenario2040-fixed_notwindy,DE0 191 H2,8.6807188,51.9968419,7027.387625654694,7027.387625788308,6.608367469916764e-05,2.7534901169219523e-06,2025-04-08 11:00:00,notwindy,scenario2040,fixed
