day,scenario,avg_price_eur_per_MWh,temporal_price_spread_eur_per_MWh,avg_spatial_price_spread_eur_per_MWh
2025-04-08,base-ext - notwindy - extendable,48.211210158163226,34.0463390143819,15.918149496584087
2025-10-06,base-ext - windvariability - extendable,19.576288203776098,20.525264028908275,25.255696866438367
2025-10-26,base-ext - windy - extendable,0.9433867890084513,10.947549439298145,15.862850165629572
2025-04-08,base2 - notwindy - fixed,52.03196012731281,27.55826565585417,124.51645653933582
2025-10-06,base2 - windvariability - fixed,46.48241108801806,19.25969521044344,1125.963054185963
2025-10-26,base2 - windy - fixed,12.746300724270226,10.918411975118518,233.8008740000963
2025-04-08,baseTP - notwindy - projects,49.24984615047351,28.246426409340238,55.72261934735147
2025-10-06,baseTP - windvariability - projects,24.321675482827896,23.325797781207637,79.82246849408283
2025-10-26,baseTP - windy - projects,3.25094944039788,5.023472856759476,75.2453046891698
2025-04-08,scenario-ext - notwindy - extendable + projects,48.010684119767966,34.49589378763889,15.33188058472624
2025-10-06,scenario-ext - windvariability - extendable + projects,19.096550779608407,25.318241773497586,22.221413368875734
2025-10-26,scenario-ext - windy - extendable + projects,0.6062331249382379,9.355155252543089,14.862346753514212
2025-04-08,scenario2040-TP - notwindy - projects,98.49727896149365,39.68412231712922,9914.396685236026
2025-10-06,scenario2040-TP - windvariability - projects,1686.8350940609992,79.57166950929172,10035.833911662376
2025-10-26,scenario2040-TP - windy - projects,5.826908549756422,8.783219516769801,88.0044257267257
2025-04-08,scenario2040-ext - notwindy - extendable,23.953610520129246,33.836172581977024,19.254637194110146
2025-10-06,scenario2040-ext - windvariability - extendable,16.25450488075442,29.73091777241508,33.0823874783089
2025-10-26,scenario2040-ext - windy - extendable,1.1310724337749165,10.880599770222712,19.630772240172504
2025-04-08,scenario2040-fixed - notwindy - fixed,128.8990101320763,39.883142650835495,9953.339572422195
2025-10-06,scenario2040-fixed - windvariability - fixed,2918.7255422703474,71.49053620259929,10035.586742220932
2025-10-26,scenario2040-fixed - windy - fixed,623.1020423291324,39.918262420540714,9966.989822774043
