scenario,wind_condition,transmission_setting,bus_id,x,y,average_marginal_price,max_marginal_price,total_load_shedding_mwh,max_load_shedding_mw,worst_shedding_snapshot
baseTP,windvariability,projects,DE0 208 H2,9.0735161,49.3119354,61.60183810198648,61.601923174746034,4.155284583884553e-06,1.7313693013335402e-07,2025-10-06 14:00:00
baseTP,windvariability,projects,DE0 219 battery,8.6807188,51.9968419,57.47395951356628,62.54554163290526,4.153628239621382e-06,1.731565030814072e-07,2025-10-06 11:00:00
baseTP,windvariability,projects,DE0 361 H2,10.14891643,49.98955822,57.08507833396178,57.0851234142642,4.153393976214804e-06,1.730581482499554e-07,2025-10-06 14:00:00
baseTP,windvariability,projects,DE0 219,8.6807188,51.9968419,56.87074512632688,63.84483728297105,4.153382254632263e-06,1.7317966680323793e-07,2025-10-06 11:00:00
baseTP,windy,projects,DE0 208 H2,9.0735161,49.3119354,63.05132227155985,63.051391762684766,8.143911815205026e-08,3.393298401660193e-09,2025-10-26 14:00:00
baseTP,windy,projects,DE0 208 battery,9.0735161,49.3119354,54.68405626833754,61.619207071522936,8.137116703850436e-08,3.392828544664672e-09,2025-10-26 15:00:00
baseTP,windy,projects,DE0 208,9.0735161,49.3119354,53.78009553637626,62.90020734009912,8.136397750423725e-08,3.3932703661766157e-09,2025-10-26 15:00:00
baseTP,windy,projects,DE0 132 H2,8.44545065,48.9860823,31.426286606099193,31.42637284905113,8.118004677485581e-08,3.3825036966260794e-09,2025-10-26 13:00:00
baseTP,windy,projects,DE0 198 H2,8.31305358,49.00906475,30.330762575203796,30.330773933655827,8.117123842598549e-08,3.3821366066025695e-09,2025-10-26 09:00:00
scenario-ext,notwindy,extendable + projects,DE0 59 H2,9.01284744,47.84470229,59.459263369724226,59.4593091074885,2.869799454311108e-06,1.1957497771834443e-07,2025-04-08 22:00:00
scenario-ext,notwindy,extendable + projects,DE0 76 H2,8.93289828,52.19312945,59.295177972883856,59.29521978734132,2.8697473640785133e-06,1.1957280735930343e-07,2025-04-08 23:00:00
scenario-ext,notwindy,extendable + projects,DE0 227 H2,8.86201735,47.80631981,59.275518291773096,59.27556346728197,2.8697471923005695e-06,1.1957280011859994e-07,2025-04-08 23:00:00
scenario-ext,notwindy,extendable + projects,DE0 397 H2,7.98559438,50.84177251,59.25579437327838,59.255834364154815,2.8697400083707638e-06,1.1957250075658541e-07,2025-04-08 23:00:00
scenario-ext,notwindy,extendable + projects,DE0 26 H2,8.8718148,48.6283304,59.24165222376943,59.24169505094091,2.8697366684741752e-06,1.195723616696255e-07,2025-04-08 23:00:00
scenario-ext,windvariability,extendable + projects,DE0 373 H2,11.3365743,47.6295424,34.4440672701492,34.44410827608612,2.3912772472951855e-06,9.963655262122018e-08,2025-10-06 14:00:00
scenario-ext,windvariability,extendable + projects,DE0 131 H2,11.3045349,47.6546273,34.41545386586076,34.41549571457513,2.3912693856443126e-06,9.963622504124111e-08,2025-10-06 14:00:00
scenario-ext,windvariability,extendable + projects,DE0 89 H2,11.29413,48.0517895,34.330844120734525,34.330887950415715,2.3912493197944e-06,9.963538900542163e-08,2025-10-06 14:00:00
scenario-ext,windvariability,extendable + projects,DE0 30 H2,11.37066239,48.29133163,34.19682661892043,34.196870342778105,2.3912179609887708e-06,9.963408235262377e-08,2025-10-06 14:00:00
scenario-ext,windvariability,extendable + projects,DE0 182 H2,10.93668095,48.40134332,34.16822374918174,34.168268824363636,2.3912107059261457e-06,9.963378008675084e-08,2025-10-06 15:00:00
scenario-ext,windy,extendable + projects,DE0 191 H2,11.80761134,48.45542373,14.454758675537084,14.454927282918566,2.2071551869270712e-08,9.196480100006494e-10,2025-10-26 17:00:00
scenario-ext,windy,extendable + projects,DE0 386 H2,12.0882478,49.3363935,14.309234651569973,14.30938591904938,2.2071229112096515e-08,9.19634560169673e-10,2025-10-26 16:00:00
scenario-ext,windy,extendable + projects,DE0 248 H2,12.08205369,49.29765451,14.305012817677541,14.305162789613586,2.2071219984258393e-08,9.19634179733138e-10,2025-10-26 16:00:00
scenario-ext,windy,extendable + projects,DE0 159 H2,12.11677325,49.63225508,14.29031029503713,14.290461936957941,2.2071185917833896e-08,9.196327604311521e-10,2025-10-26 16:00:00
scenario-ext,windy,extendable + projects,DE0 18 H2,10.97285198,49.55849876,14.258844712298844,14.25900415375998,2.207111835039125e-08,9.196299458963676e-10,2025-10-26 17:00:00
