display_name,actual_load_mwh,load_shedding_MWh,total_curtailed_mwh
Base,1368958.3963318372,0.0102920032356932,287993.8337910681
2040 Fixed,1987958.592113825,163261.76115220966,2116984.411196003
2040 TP,2124284.5450268616,26935.8082151952,1792070.607762663
2040 Extension,2151220.3487168336,0.0045492008870524,1386958.723296292
