display_name,actual_load_mwh,load_shedding_MWh,total_curtailed_mwh
Base,1300022.8600636502,0.0161494232089426,135.06643240900922
2040 Fixed,2041869.3488320604,1023.7423599126996,337863.7209907912
2040 TP,2041869.3572931404,1023.7338628653469,243525.1429692721
2040 Extension,2042893.08079352,0.0103984530915955,89327.14557446817
