line_id,bus0,bus1,number_of_networks_congested,list_of_networks_congested,average_loading_across_networks,maximum_loading_across_networks,min_loading_across_networks,loading_change_vs_fixed,line_length,carrier,bus0_x,bus0_y,country,x_coordinate,y_coordinate
85,DE0 124,DE0 77,1,scenario2040-ext_notwindy_extendable,61.23,61.23,61.23,,36.92538307329789,AC,7.60686086,51.89868294,DE,,
292,DE0 202,DE0 322,1,scenario2040-ext_windvariability_extendable,61.2,61.2,61.2,,14.990699581040605,AC,10.3661614,52.28451549,DE,,
302,DE0 206,DE0 212,1,scenario2040-ext_windvariability_extendable,61.18,61.18,61.18,,69.21297992233092,AC,8.30780327,52.34569252,DE,,
312,DE0 211,DE0 247,1,scenario2040-ext_windvariability_extendable,61.16,61.16,61.16,,18.52926292466987,AC,8.30819129,49.25696865,DE,,
8,DE0 1,DE0 110,1,scenario2040-ext_windvariability_extendable,61.15,61.15,61.15,,28.23466571201099,AC,9.25949541,51.06137445,DE,,
86,DE0 124,DE0 90,1,scenario2040-ext_windvariability_extendable,61.14,61.14,61.14,,25.653051789675622,AC,7.60686086,51.89868294,DE,,
316,DE0 212,DE0 358,1,scenario2040-ext_windvariability_extendable,61.12,61.12,61.12,,35.660312114024094,AC,7.30961213,52.47487779,DE,,
592,DE0 395,DE0 437,1,scenario2040-ext_windvariability_extendable,61.1,61.1,61.1,,4.653150336129145,AC,7.36765611,51.62877256,DE,,
97,DE0 128,DE0 155,1,scenario2040-TP_windvariability_projects,61.07,61.07,61.07,,25.747341902963072,AC,8.321627,49.0416916,DE,,
244,DE0 183,DE0 241,1,scenario2040-ext_windvariability_extendable,61.06,61.06,61.06,,19.8542608982045,AC,9.98886296,51.95433621,DE,,
94,DE0 128,DE0 174,1,scenario2040-ext_windvariability_extendable,61.01,61.01,61.01,,35.099107474834184,AC,9.14512813,52.85278466,DE,,
505,DE0 317,DE0 81,1,scenario2040-ext_windvariability_extendable,61.01,61.01,61.01,,49.21330384612449,AC,12.56535948,51.07854346,DE,,
36,DE0 107,DE0 38,1,scenario2040-ext_windvariability_extendable,61.0,61.0,61.0,,30.13631534671337,AC,14.21918308,51.12114292,DE,,
72,DE0 12,DE0 96,1,scenario2040-ext_windvariability_extendable,60.99,60.99,60.99,,23.554724086403777,AC,11.42968685,50.91163215,DE,,
248,DE0 184,DE0 329,1,scenario2040-ext_windvariability_extendable,60.97,60.97,60.97,,65.55027546325061,AC,11.86805459,48.20668527,DE,,
375,DE0 241,DE0 322,1,scenario2040-ext_windvariability_extendable,60.96,60.96,60.96,,10.676006979593895,AC,10.19522165,52.07984644,DE,,
84,DE0 124,DE0 374,1,scenario2040-ext_windvariability_extendable,60.93,60.93,60.93,,2.3641961128235685,AC,7.60686086,51.89868294,DE,,
104,DE0 131,DE0 415,1,scenario2040-ext_windvariability_extendable,60.91,60.91,60.91,,47.38658626826667,AC,9.74603333,50.91755925,DE,,
5,DE0 0,DE0 65,1,scenario2040-ext_notwindy_extendable,60.86,60.86,60.86,,104.22899000798232,AC,10.8429296,49.37820092,DE,,
393,DE0 251,DE0 343,1,scenario2040-ext_windvariability_extendable,60.85,60.85,60.85,,18.21541650299105,AC,8.77211274,49.97464961,DE,,
65,DE0 117,DE0 203,1,scenario2040-ext_windvariability_extendable,60.81,60.81,60.81,,19.110210274605066,AC,6.9670047,52.0076022,DE,,
400,DE0 254,DE0 99,1,scenario2040-ext_windvariability_extendable,60.7,60.7,60.7,,11.892867640418565,AC,9.20489706,49.04220172,DE,,
157,DE0 150,DE0 408,1,scenario2040-ext_windvariability_extendable,60.67,60.67,60.67,,12.483872570086758,AC,8.65613347,50.60581839,DE,,
556,DE0 357,DE0 439,1,scenario2040-ext_windvariability_extendable,60.6,60.6,60.6,,1.614329128290223,AC,7.3986181,52.1687339,DE,,
473,DE0 293,DE0 344,1,scenario2040-ext_windvariability_extendable,60.59,60.59,60.59,,6.629007235284486,AC,6.70229086,49.8291313,DE,,
134,DE0 139,DE0 58,1,scenario2040-TP_windvariability_projects,60.56,60.56,60.56,,17.535212641601678,AC,7.42741938,51.42871308,DE,,
547,DE0 351,DE0 425,1,scenario2040-ext_windvariability_extendable,60.54,60.54,60.54,,7.659062501679729,AC,8.89562534,52.56398074,DE,,
500,DE0 314,DE0 86,1,scenario2040-ext_windvariability_extendable,60.53,60.53,60.53,,4.3309145811885195,AC,12.0882478,49.3363935,DE,,
308,DE0 204,DE0 82,1,scenario2040-TP_windvariability_projects,60.5,60.5,60.5,,9.382812753494399,AC,7.31917955,49.30447295,DE,,
381,DE0 244,DE0 95,1,scenario2040-ext_windvariability_extendable,60.5,60.5,60.5,,4.803918192216627,AC,6.7235627,51.35546216,DE,,
161,DE0 149,DE0 267,1,scenario2040-TP_windvariability_projects,60.4,60.4,60.4,,34.06129859623292,AC,7.0741578,50.5936577,DE,,
83,DE0 124,DE0 240,1,scenario2040-ext_windvariability_extendable,60.4,60.4,60.4,,10.545144574441025,AC,7.60686086,51.89868294,DE,,
51,DE0 113,DE0 33,1,scenario2040-fixed_windvariability_fixed,60.36,60.36,60.36,,76.23916118865964,AC,8.95882952,50.08272666,DE,,
564,DE0 367,DE0 94,1,scenario2040-ext_windvariability_extendable,60.35,60.35,60.35,,46.74111845299872,AC,10.18793089,49.98122948,DE,,
385,DE0 248,DE0 374,1,scenario2040-ext_windvariability_extendable,60.3,60.3,60.3,,20.109225666751904,AC,7.83156868,51.75347834,DE,,
0,DE0 0,DE0 243,1,scenario2040-ext_windvariability_extendable,60.28,60.28,60.28,,69.42324150932166,AC,10.8429296,49.37820092,DE,,
445,DE0 280,DE0 439,1,scenario2040-ext_windvariability_extendable,60.22,60.22,60.22,,17.125269014968847,AC,7.27858813,52.31941326,DE,,
80,DE0 122,DE0 86,1,scenario2040-ext_windvariability_extendable,60.21,60.21,60.21,,102.37359599362614,AC,13.10358226,48.66663053,DE,,
314,DE0 212,DE0 280,1,scenario2040-ext_windvariability_extendable,60.16,60.16,60.16,,17.414551812309654,AC,7.30961213,52.47487779,DE,,
313,DE0 211,DE0 362,1,scenario2040-ext_windvariability_extendable,60.12,60.12,60.12,,25.552651757299966,AC,8.30819129,49.25696865,DE,,
124,DE0 137,DE0 61,1,scenario2040-ext_windvariability_extendable,60.1,60.1,60.1,,32.764574373633224,AC,11.5169264,51.58399579,DE,,
487,DE0 30,DE0 77,1,scenario2040-ext_windvariability_extendable,60.07,60.07,60.07,,25.65354290137706,AC,7.72577011,52.27696556,DE,,
