day,scenario,load_shedding_MWh,curtailment_MWh,congestion_hours,avg_price_eur_per_MWh,price_spread_eur_per_MWh
2025-04-08,base-ext - notwindy - extendable,0.012282845146881098,0.5122297941352503,0,48.211210158163226,34.0463390143819
2025-10-06,base-ext - windvariability - extendable,0.002860137194342328,3.8833185443925538,0,19.576288203776098,20.525264028908275
2025-10-26,base-ext - windy - extendable,8.480505050962869e-05,709.2916778613884,0,0.9433867890084513,10.947549439298145
2025-04-08,base2 - notwindy - fixed,0.01614942320894268,132.373984378152,0,52.03196012731281,27.55826565585417
2025-10-06,base2 - windvariability - fixed,0.010292003235693209,6306.415752195543,0,46.48241108801806,19.25969521044344
2025-10-26,base2 - windy - fixed,0.0014919297669744457,12121.790160912708,0,12.746300724270226,10.918411975118518
2025-04-08,baseTP - notwindy - projects,0.01123305678998614,0.44748730134503895,0,49.24984615047351,28.246426409340238
2025-10-06,baseTP - windvariability - projects,0.005589853770310978,10063.359549228526,0,24.321675482827896,23.325797781207637
2025-10-26,baseTP - windy - projects,0.00010932026248030823,11759.30375285376,0,3.25094944039788,5.023472856759476
2025-04-08,scenario-ext - notwindy - extendable + projects,0.003871173771612165,0.1672652036876381,0,48.010684119767966,34.49589378763889
2025-10-06,scenario-ext - windvariability - extendable + projects,0.003224449777748743,0.5317394648486837,0,19.096550779608407,25.318241773497586
2025-10-26,scenario-ext - windy - extendable + projects,2.9767614548369145e-05,324.61931342386106,0,0.6062331249382379,9.355155252543089
2025-04-08,scenario2040-TP - notwindy - projects,1023.7338628653466,240654.5066684562,0,98.49727896149365,39.68412231712922
2025-10-06,scenario2040-TP - windvariability - projects,26935.808215195193,79681.48435558415,0,1686.8350940609992,79.57166950929172
2025-10-26,scenario2040-TP - windy - projects,0.0009710585549686697,90776.06429352508,0,5.826908549756422,8.783219516769801
2025-04-08,scenario2040-ext - notwindy - extendable,0.010398453091595563,86770.2087071641,0,23.953610520129246,33.836172581977024
2025-10-06,scenario2040-ext - windvariability - extendable,0.004549200887052412,4679.224780372491,0,16.25450488075442,29.73091777241508
2025-10-26,scenario2040-ext - windy - extendable,0.00011294205252676107,79351.10397906555,0,1.1310724337749165,10.880599770222712
2025-04-08,scenario2040-fixed - notwindy - fixed,1023.7423599126993,331106.3247456936,0,128.8990101320763,39.883142650835495
2025-10-06,scenario2040-fixed - windvariability - fixed,163261.76115220974,104782.72041179257,0,2918.7255422703474,71.49053620259929
2025-10-26,scenario2040-fixed - windy - fixed,4503.151950422829,127280.36499462952,0,623.1020423291324,39.918262420540714
