scenario,days_observed,avg_daily_unserved_energy_mwh,max_daily_unserved_energy_mwh,avg_daily_peak_shedding_mw,max_daily_peak_shedding_mw,avg_daily_price_eur_per_mwh,max_daily_price_eur_per_mwh,avg_daily_temporal_price_spread,avg_daily_spatial_price_spread,avg_daily_curtailment_gwh,max_daily_curtailment_gwh,avg_daily_congested_lines,max_daily_congested_lines,total_congestion_events,scenario_name,transmission_setting,wind_condition
germany_base2_notwindy,1,0.0161494232089426,0.0161494232089426,0.0006731492092612,0.0006731492092612,52.03196012731281,52.03196012731281,27.55826565585417,124.51645653933582,0.1327728160990961,0.1327728160990961,0.0,0,0,base2,fixed,notwindy
germany_base2_windvariability,1,0.0102920032356932,0.0102920032356932,0.0004290138909334,0.0004290138909334,46.48241108801806,46.48241108801806,19.25969521044344,1125.963054185963,183.45078357947392,183.45078357947392,0.0,0,0,base2,fixed,windvariability
germany_base2_windy,1,0.0014919297669744,0.0014919297669744,6.217826021220484e-05,6.217826021220484e-05,12.746300724270226,12.746300724270226,10.918411975118518,233.8008740000963,641.1403311784262,641.1403311784262,0.0,0,0,base2,fixed,windy
