scenario,load_served_MWh,load_shedding_MWh,avg_marginal_price,max_marginal_price,total_co2_emissions,avg_line_loading_pct,max_line_loading_pct,lines_above_60pct,lines_above_70pct,total_available_mwh,total_dispatched_mwh,total_curtailed_mwh,total_capacity_mw,curtailment_share_pct,top_lines_reported,avg_top_line_loading_pct,max_top_line_loading_pct,stressed_buses_reported,total_reported_shedding_mwh,max_reported_bus_price,scenario_name,transmission_setting,wind_condition
germany_base2_notwindy,1300022.8762130735,0.0161494232089426,54.523992495872754,143.42946258664574,179627.34828188576,11.849893105841904,69.13563699735943,0,0,,,,,,5,47.36498563782675,69.13563699735943,5,6.0180123491955096e-05,143.42946258664574,base2,fixed,notwindy
germany_base2_windvariability,1368958.4066238403,0.0102920032356932,41.09950719925665,1112.25502745438,162112.50126885693,17.016473556631922,69.13554152027953,1,0,,,,,,5,57.4312112436396,69.13554152027953,5,4.1636788688055706e-05,1112.25502745438,base2,fixed,windvariability
germany_base2_windy,1179664.8225402832,0.0014919297669744,14.581967994811592,253.91588328667888,36931.24374597184,15.521746534133,69.49191944358152,4,0,,,,,,5,63.2989458216587,69.13557095110725,5,5.615813708053786e-06,253.91588328667888,base2,fixed,windy
