line_id,bus0,bus1,number_of_networks_congested,list_of_networks_congested,average_loading_across_networks,maximum_loading_across_networks,min_loading_across_networks,loading_change_vs_fixed,line_length,carrier,bus0_x,bus0_y,country,x_coordinate,y_coordinate
622,DE0 61,DE0 96,5,"base2_windy_fixed, scenario1_windvariability_fixed, scenario1_windy_fixed, scenario2_windvariability_fixed, scenario2_windy_fixed",68.04,69.41,65.82,,70.3190124626766,AC,11.89471336,51.40650196,DE,,
520,DE0 330,DE0 362,4,"scenario1_windvariability_fixed, scenario1_windy_fixed, scenario2_windvariability_fixed, scenario2_windy_fixed",69.9,69.9,69.9,,3.6717909800697766,AC,8.31305358,49.00906475,DE,,
66,DE0 117,DE0 227,4,"scenario1_windvariability_fixed, scenario1_windy_fixed, scenario2_windvariability_fixed, scenario2_windy_fixed",69.7,69.7,69.7,,35.2017216021361,AC,6.9670047,52.0076022,DE,,
119,DE0 136,DE0 317,4,"scenario1_windvariability_fixed, scenario1_windy_fixed, scenario2_windvariability_fixed, scenario2_windy_fixed",69.66,69.92,68.88,,9.294549181400077,AC,12.51829065,51.15673526,DE,,
60,DE0 115,DE0 46,4,"scenario1_windvariability_fixed, scenario1_windy_fixed, scenario2_windvariability_fixed, scenario2_windy_fixed",69.56,69.56,69.56,,52.351995800291256,AC,11.64586648,50.53438273,DE,,
10,DE0 1,DE0 150,4,"scenario1_windvariability_fixed, scenario1_windy_fixed, scenario2_windvariability_fixed, scenario2_windy_fixed",69.37,69.45,69.3,,66.04073109854822,AC,9.25949541,51.06137445,DE,,
605,DE0 415,DE0 53,4,"scenario1_windvariability_fixed, scenario1_windy_fixed, scenario2_windvariability_fixed, scenario2_windy_fixed",68.44,68.98,67.49,,39.927837838254426,AC,9.58562544,51.33165459,DE,,
178,DE0 16,DE0 304,4,"scenario1_windvariability_fixed, scenario1_windy_fixed, scenario2_windvariability_fixed, scenario2_windy_fixed",68.16,69.85,65.41,,5.855181800775932,AC,8.58857704,49.81584445,DE,,
412,DE0 264,DE0 339,4,"scenario1_windvariability_fixed, scenario1_windy_fixed, scenario2_windvariability_fixed, scenario2_windy_fixed",67.55,69.9,60.48,,3.8408398298292865,AC,7.13599229,51.41709824,DE,,
94,DE0 128,DE0 174,4,"scenario1_windvariability_fixed, scenario1_windy_fixed, scenario2_windvariability_fixed, scenario2_windy_fixed",66.58,69.7,60.84,,35.099107474834184,AC,9.14512813,52.85278466,DE,,
99,DE0 13,DE0 69,4,"scenario1_windvariability_fixed, scenario1_windy_fixed, scenario2_windvariability_fixed, scenario2_windy_fixed",66.49,69.78,62.33,,26.03444472209066,AC,11.80761134,48.45542373,DE,,
84,DE0 124,DE0 374,4,"scenario1_windvariability_fixed, scenario1_windy_fixed, scenario2_windvariability_fixed, scenario2_windy_fixed",65.48,69.98,63.27,,2.3641961128235685,AC,7.60686086,51.89868294,DE,,
98,DE0 13,DE0 329,4,"base2_windvariability_fixed, scenario1_windvariability_fixed, scenario2_windvariability_fixed, scenario2_windy_fixed",65.24,69.03,60.25,,38.208492875279354,AC,11.80761134,48.45542373,DE,,
45,DE0 111,DE0 435,4,"scenario1_windvariability_fixed, scenario1_windy_fixed, scenario2_windvariability_fixed, scenario2_windy_fixed",64.1,69.44,62.18,,21.694334814078672,AC,8.36487768,51.92729017,DE,,
22,DE0 102,DE0 46,4,"scenario1_windvariability_fixed, scenario1_windy_fixed, scenario2_windvariability_fixed, scenario2_windy_fixed",63.59,65.32,60.38,,47.937983015071836,AC,10.99111786,50.57388699,DE,,
103,DE0 131,DE0 33,4,"scenario1_windvariability_fixed, scenario1_windy_fixed, scenario2_windvariability_fixed, scenario2_windy_fixed",62.04,63.44,60.23,,43.267880678401376,AC,9.74603333,50.91755925,DE,,
47,DE0 112,DE0 349,3,"scenario1_windvariability_fixed, scenario1_windy_fixed, scenario2_windy_fixed",69.28,69.86,68.64,,2.757565283866902,AC,9.98871443,53.76608333,DE,,
