scenario,wind_condition,transmission_setting,carrier,available_mwh,dispatched_mwh,curtailed_mwh,capacity_mw,curtailment_share_pct
base2,windvariability,fixed,onwind,804830.798401218,627686.4305739396,177144.36782727833,73332.0659,22.010137805259497
base2,windvariability,fixed,offwind-ac,173568.7610145298,69168.04914079647,104400.71187373332,11163.743,60.14948269694321
base2,windvariability,fixed,solar,90121.27745373089,83814.86170153534,6306.415752195546,86407.99999999999,6.997699023333662
base2,windvariability,fixed,ror,26219.26305273432,26076.92471487341,142.3383378609085,4014.118709,0.5428769587254456
base2,windy,fixed,onwind,1520776.2036497495,891757.6626322358,629018.5410175135,73332.0659,41.36167698494466
base2,windy,fixed,offwind-ac,236217.48034710326,37499.90005252877,198717.58029457447,11163.743,84.12484122791184
base2,windy,fixed,solar,121780.28322631732,109658.49306540462,12121.79016091271,86407.99999999999,9.95381997789042
base2,windy,fixed,ror,40079.38368937722,39367.55897783312,711.8247115440881,4014.118709,1.7760370694840617
